,User,Followers,user_id,Tweet,Retweet_Count,Location,Verified_Account,Retweet
0,zuum_zaam,168,39347666,"RT @Alebadilloc: Me dan risa, referente a lo que pasó con AMLO en la mañana, los que nos advierten con pánico: ""Hoy fue Loret, mañana puede…",1054,Ciudad de México ,False,0
1,Herek_Tor,563,161593395,"RT @Pajaropolitico: A través de una carta, accionistas de la petrolera Baker Hughes pidieron iniciar una investigación por un posible confl…",541,México,False,0
2,ANGELENRIKE,158,102451054,RT @JucaNoticias: Les está doliendo muchísimo a los empresarios que se esté impulsando la Reforma Eléctrica! Saben los privilegios que perd…,179,"Tabasco, México",False,0
3,YO_____MERO,3951,113728420,"RT @HectorRossete: Perdón @AntonioAttolini si no eres México ¿Qué haces aquí? ¿Defender lo indefendible? 

Se llama violación de los derech…",236,México DFectuoso,False,0
4,nectarsuarez,117,1664475157,RT @AristeguiOnline: Loret de Mola responde a AMLO: “Está fuera de sí… Quiere callarme… a sus amenazas responderé con denuncias de todo aqu…,2528,Cancún México.,False,0
5,mayoromeroc,261,238817100,"RT @Osiris_Aquino: Ay, AMLO: lo único que lograste es que anden diciendo esa mamada de “Todos somos Loret” y que el asesinato de 6 periodis…",28,"Coyoacán, Distrito Federal",False,0
6,jorge_hr1,452,193062134,"RT @HectorRossete: Perdón @AntonioAttolini si no eres México ¿Qué haces aquí? ¿Defender lo indefendible? 

Se llama violación de los derech…",236,México,False,0
7,AbueloArteaga,330,3865074913,RT @JorgeTaddeiB: Hermoso espectáculo de la amapa rosa en la Sierra sonorense que contempla la histórica primera visita de un presidente de…,6,"Hermosillo, Sonora",False,0
8,cuevasrubias,2576,236900631,"RT @Radio_Formula: Numerosos periodistas se unieron en muestras de solidaridad hacia Carlos Loret de Mola bajo el #TodosSomosLoret

https:/…",694,mexico,False,0
9,Hu_Gonzalez,1620,53951152,RT @MXvsCORRUPCION: Aquí puedes leer nuestra investigación completa https://t.co/84IrBYwkdM,1115,Ciudad de México,False,0
10,CoachJuanNabor,184,1223167533068509184,"RT @Arouet_V: Attolini dice que sí es de interés público lo que gana Loret. Así la estupidez.

1 AMLO violó la ley 
2 El INAI no puede inve…",148,"Puebla, México",False,0
11,Jassito_087,758,248916784,"RT @Radio_Formula: Numerosos periodistas se unieron en muestras de solidaridad hacia Carlos Loret de Mola bajo el #TodosSomosLoret

https:/…",694,"Ciudad Fernández, S.L.P.",False,0
12,ucordova,1399,166039663,"RT @ApostolManotas: Otro reportaje de investigación de @CarlosLoret y AMLO se nos infarta…

¿¡Qué dice el públicooooo….!!!!???",54,"Toluca, México",False,0
13,Herek_Tor,563,161593395,"RT @El_Universal_Mx: Después de mostrarlo, el presidente dijo que ""no es un asunto personal, yo estoy bien con mi conciencia, duermo tranqu…",14,México,False,0
14,Jonapolifo3_0,3043,60922766,"RT @Revolucion3_0: Loret de Mola gana 35 millones de pesos 
al año, 15 veces más que yo: AMLO

🔴 Para más información visita: 
https://t.co…",12,Tuits a título personal. ,False,0
15,highboyb100,93,240539255,RT @carlosbravoreg: Puedes odiar a Loret. Puedes creer que su periodismo es basura. Puedes creer que lo mueven las peores intenciones y los…,1592,"Cuauhtémoc, Distrito Federal",False,0
16,Fofo_MX,41,50175455,"RT @qtf: AMLO ya abdicó de la presidencia. Está actuando como un pandillero, un delincuente. Es tremendo lo que está haciendo.
FF",2993,"ÜT: 19.443616,-99.076124",False,0
17,miguel_garzaQ,195,185506765,"RT @elgatopolitico_: Aristegui advierte que ""Se están rompiendo los límites desde el máximo poder de la República"", en alusión al millonari…",393,Monterrey MX,False,0
18,DemisSantanas,35,1484564791746199553,"RT @Radio_Formula: Numerosos periodistas se unieron en muestras de solidaridad hacia Carlos Loret de Mola bajo el #TodosSomosLoret

https:/…",694,"Monterrey, Nuevo León",False,0
