TWEET,"LAT,LONG",AGE,DATE
"Si esa pregunta, se contesta con otra pregunta,es una evacion a la misma, pero los mexicanos ya sabemos, que Loret trabaja en una empresa enemiga de México y de AMLO, pues, la respuesta por estúpida que sea tiene lógica, ya sabemos que los chayoteros prostituyen la información","[19.320499,-99.152603]",18,10/02/22
"Las agresiones verbales a periodistas ""enrarecen"" el ambiente. AMLO obtuvo triunfo electoral inobjetable 2018 y le toca gobernar el país, pero como Presidente demócrata, no como un gobernante intolerante q descalifica a la prensa y a quien piensa diferente","[19.320499,-99.152603]",34,10/02/22
"Y les vale Madr..s cuando uno les hace una pregunta, están peor que el IDIOT..A de AMLO.","[19.320499,-99.152603]",26,10/02/22
"""¡Ken aguanta el pueblo se levanta!"", le dijo AMLO al embajador de EU, Ken Salazar.","[19.320499,-99.152603]",32,10/02/22
"Ese vídeo lo vi hace más de un año, no es el hijo de AMLO o si?","[25.672939,-100.309731]",19,10/02/22
"AMLO aseguró que la reforma eléctrica no afectará al Tratado Comercial entre México, Estados Unidos y Canadá; afirmó que a John Kerry le dijo que lo que no se quiere es permitir la corrupción. https://politico.mx/sl/ffF7","[19.846500,-90.536888]",39,10/02/22
Siguiendo los pasos de su maestro AMLO,"[25.822210,-108.222618]",21,10/02/22
"Evidentemente esa pregunta no la hace por que el buen Nacho no es más que un lame botas profesional, ya no siquiera se preocupa por disimular, ni un solo cuestiónamiento a AMLO solo cuestiona a la oposición, el celebra la casa en houston!","[16.485229,-92.473061]",20,10/02/22
"Buscar un enemigo común para distraer al pueblo ha sido ampliamente utilizado por mandatarios, parece que les funciona… AMLO: problemas diplomáticos ¿desviando la atención? https://eluniversal.com.mx/opinion/solange-marquez/amlo-problemas-diplomaticos-desviando-la-atencion?utm_source=web&utm_medium=social_buttons&utm_campaign=social_sharing&utm_content=twitter… vía ","[16.485229,-92.473061]",26,10/02/22
,,,
